Year;Month;Day;Wind_Speed_Max_ms;Wind_Max_Direction_Dg
2000;1;4;6,3;231
2000;1;5;8;231
2000;1;6;4;242
2000;1;7;4,1;304
2000;1;8;7,8;180
2000;1;9;5,9;169
2000;1;10;3,3;242
2000;1;11;3,6;225
2000;1;12;3,2;141
2000;1;13;9,6;163
2000;1;14;7,6;174
2000;1;15;5,1;253
2000;1;16;7,3;219
2000;1;17;14,7;259
2000;1;18;17,3;22
2000;1;19;14,7;326
2000;1;20;14,2;236
2000;1;21;18,9;354
2000;1;22;10,1;157
2000;1;23;10,8;17
2000;1;24;10,5;354
2000;1;25;4,9;214
2000;1;26;10;219
2000;1;27;8,2;219
2000;1;28;8,1;231
2000;1;29;17,6;202
2000;1;30;13,9;292
2000;1;31;15;270
2000;2;1;7,4;219
2000;2;2;8;202
2000;2;3;14,2;287
2000;2;4;8,5;208
2000;2;5;9,4;225
2000;2;6;6,3;202
2000;2;7;8,1;197
2000;2;8;15,5;197
2000;2;9;15,3;281
2000;2;10;9,3;259
2000;2;11;10;169
2000;2;12;7,3;118
2000;2;13;9,7;197
2000;2;14;19,4;281
2000;2;15;10,8;163
2000;2;16;19,5;163
2000;2;17;8,3;304
2000;2;18;7,4;281
2000;2;19;9,3;163
2000;2;20;10,3;28
2000;2;21;8,5;28
2000;2;22;4,9;247
2000;2;23;4,9;208
2000;2;24;10,2;174
2000;2;25;13,9;315
2000;2;26;8,2;332
2000;2;27;4,9;112
2000;2;28;19,8;157
2000;2;29;17,6;135
2000;3;1;13,7;146
2000;3;2;15;326
2000;3;3;13,9;219
2000;3;4;14,4;281
2000;3;5;15,8;315
2000;3;6;8,7;292
2000;3;7;12,3;259
2000;3;8;15;259
2000;3;9;22;304
2000;3;10;14,2;343
2000;3;11;13,5;315
2000;3;12;12,5;315
2000;3;13;4,6;124
2000;3;14;13,2;202
2000;3;15;24,5;315
2000;3;16;11,8;354
2000;3;17;13,8;22
2000;3;18;12,1;349
2000;3;19;10;354
2000;3;20;9,3;343
2000;3;21;4;231
2000;3;22;6,5;236
2000;3;23;8,4;287
2000;3;24;6,1;45
2000;3;25;3,8;118
2000;3;26;8,8;146
2000;3;27;12,2;242
2000;3;28;8,9;146
2000;3;29;8;39
2000;3;30;12,5;202
2000;3;31;13,1;208
2000;4;1;5,7;101
2000;4;2;7,1;34
2000;4;3;19,6;163
2000;4;4;16,1;163
2000;4;5;12,2;22
2000;4;6;16,1;349
2000;4;7;10,4;292
2000;4;8;12,3;349
2000;4;9;9,5;157
2000;4;10;14,7;146
2000;4;11;13,1;169
2000;4;12;19,1;169
2000;4;13;11,3;169
2000;4;14;12,1;174
2000;4;15;13,3;163
2000;4;16;12,4;253
2000;4;17;13,8;174
2000;4;18;6,8;28
2000;4;19;12,1;67
2000;4;20;7,1;51
2000;4;21;7,3;22
2000;4;22;4,9;332
2000;4;23;12,4;174
2000;4;24;10,5;247
2000;4;25;7,7;191
2000;4;26;6,7;17
2000;4;27;10,7;141
2000;4;28;12,4;118
2000;4;29;12;129
2000;4;30;6;124
2000;5;1;9,6;22
2000;5;2;12,4;22
2000;5;3;5,9;174
2000;5;4;8,6;174
2000;5;5;6;354
2000;5;6;6,6;157
2000;5;7;8;191
2000;5;8;13,3;174
2000;5;9;7,4;169
2000;5;10;6,3;247
2000;5;11;6,8;22
2000;5;12;11,2;28
2000;5;13;8,6;22
2000;5;14;9,2;360
2000;5;15;6,6;107
2000;5;16;8,5;180
2000;5;17;11;163
2000;5;18;16,1;236
2000;5;19;9,6;326
2000;5;20;8,8;247
2000;5;21;7,8;259
2000;5;22;12,6;276
2000;5;23;8,3;264
2000;5;24;7,6;174
2000;5;25;11,7;163
2000;5;26;5,9;17
2000;5;27;16,5;157
2000;5;28;14,4;186
2000;5;29;8,1;281
2000;5;30;7,5;281
2000;5;31;10,8;157
2000;6;1;10,8;67
2000;6;2;7,2;169
2000;6;3;5,2;180
2000;6;4;9,4;180
2000;6;5;8,6;202
2000;6;6;18,4;214
2000;6;7;14,9;321
2000;6;8;4,6;22
2000;6;9;8,3;129
2000;6;10;10,6;112
2000;6;11;11,6;180
2000;6;12;7;169
2000;6;13;5,9;118
2000;6;14;20,8;236
2000;6;15;17,7;276
2000;6;16;13,6;309
2000;6;17;11,8;22
2000;6;18;7,3;79
2000;6;19;7,8;197
2000;6;20;5,3;219
2000;6;21;6,1;101
2000;6;22;8,3;214
2000;6;23;12,3;309
2000;6;24;6,1;292
2000;6;25;8,9;287
2000;6;26;8,9;276
2000;6;27;11,2;292
2000;6;28;8,3;247
2000;6;29;9,5;276
2000;6;30;10;242
2000;7;1;9,8;242
2000;7;2;11,2;236
2000;7;3;16,2;270
2000;7;4;22;270
2000;7;5;12,5;270
2000;7;6;11,8;270
2000;7;7;7,3;39
2000;7;8;11,4;276
2000;7;9;11;276
2000;7;10;13,5;118
2000;7;11;10,9;186
2000;7;12;11,9;259
2000;7;13;9,4;349
2000;7;14;8,5;242
2000;7;15;6,6;287
2000;7;16;5,8;242
2000;7;17;11,1;276
2000;7;18;9,1;287
2000;7;19;10;253
2000;7;20;6,3;360
2000;7;21;7,4;253
2000;7;22;6,5;332
2000;7;23;5,8;253
2000;7;24;8,1;124
2000;7;25;11,8;253
2000;7;26;15,7;281
2000;7;27;8,2;270
2000;7;28;10;253
2000;7;29;16,3;298
2000;7;30;10;45
2000;7;31;9,2;343
2000;8;1;6;242
2000;8;2;10,8;163
2000;8;3;6,3;118
2000;8;4;5,9;180
2000;8;5;5,2;39
2000;8;6;10;51
2000;8;7;7,6;360
2000;8;8;8,5;354
2000;8;9;7;292
2000;8;10;7,4;270
2000;8;11;7,3;214
2000;8;12;4,2;225
2000;8;13;4,3;79
2000;8;14;5,5;22
2000;8;15;4,2;343
2000;8;16;8,7;343
2000;8;17;8,4;247
2000;8;18;6,7;264
2000;8;19;11,8;163
2000;8;20;7,7;259
2000;8;21;8,1;253
2000;8;22;15,8;214
2000;8;23;8,2;28
2000;8;24;6,4;197
2000;8;25;12;309
2000;8;26;10,8;45
2000;8;27;8,3;169
2000;8;28;5,6;236
2000;8;29;8,5;349
2000;8;30;5;34
2000;8;31;4,3;84
2000;9;1;9,8;11
2000;9;2;8,1;242
2000;9;3;13,5;270
2000;9;4;10,2;298
2000;9;5;9,6;343
2000;9;6;5,5;259
2000;9;7;5,9;202
2000;9;8;4,2;354
2000;9;9;7,6;219
2000;9;10;10,1;197
2000;9;11;8,5;22
2000;9;12;7,3;354
2000;9;13;10,6;191
2000;9;14;8,8;259
2000;9;15;7,9;28
2000;9;16;12,4;298
2000;9;17;7,7;197
2000;9;18;9,1;34
2000;9;19;4;67
2000;9;20;7,5;45
2000;9;21;8,3;34
2000;9;22;10,2;349
2000;9;23;11;34
2000;9;24;5,1;34
2000;9;25;5,9;208
2000;9;26;3,6;264
2000;9;27;8;186
2000;9;28;9;169
2000;9;29;13,6;118
2000;9;30;12,9;174
2000;10;1;15,5;124
2000;10;2;12,7;141
2000;10;3;5,9;34
2000;10;4;5,4;45
2000;10;5;3,9;264
2000;10;6;3,6;253
2000;10;7;7,4;208
2000;10;8;7;219
2000;10;9;5,9;208
2000;10;10;11,2;163
2000;10;11;17,7;169
2000;10;12;16,4;174
2000;10;13;16;157
2000;10;14;13,4;174
2000;10;15;9,3;107
2000;10;16;13,2;146
2000;10;17;11,6;169
2000;10;18;6,9;17
2000;10;19;6,4;141
2000;10;20;10,1;174
2000;10;21;12,8;157
2000;10;22;6,7;191
2000;10;23;8,5;146
2000;10;24;7,2;242
2000;10;25;8,7;208
2000;10;26;9,9;214
2000;10;27;8,4;281
2000;10;28;11,7;129
2000;10;29;10,5;146
2000;10;30;15,7;174
2000;10;31;14,5;219
2000;11;1;5,6;264
2000;11;2;12,4;146
2000;11;3;18,4;186
2000;11;4;14,1;180
2000;11;5;7;281
2000;11;6;21;186
2000;11;7;18,3;180
2000;11;8;12,2;163
2000;11;9;11,2;174
2000;11;10;5,6;247
2000;11;11;8,3;180
2000;11;12;14,2;96
2000;11;13;15,6;141
2000;11;14;18,4;163
2000;11;15;13;236
2000;11;16;6;129
2000;11;17;15,9;163
2000;11;18;7;337
2000;11;19;10,6;180
2000;11;20;12,8;129
2000;11;21;12,7;163
2000;11;22;6,2;180
2000;11;23;16;157
2000;11;24;16,7;163
2000;11;25;4,7;96
2000;11;26;9,1;135
2000;11;27;6,8;231
2000;11;28;8,3;180
2000;11;29;10;174
2000;11;30;9,9;174
2000;12;1;3,9;264
2000;12;2;3,2;107
2000;12;3;8,2;107
2000;12;4;4,2;191
2000;12;5;5,5;118
2000;12;6;9;152
2000;12;7;10,8;118
2000;12;8;12;163
2000;12;9;6;236
2000;12;10;10,4;202
2000;12;11;10,4;225
2000;12;12;6,5;242
2000;12;13;6,1;276
2000;12;14;9,8;231
2000;12;15;9,7;202
2000;12;16;12,4;270
2000;12;17;9,1;219
2000;12;18;4,9;242
2000;12;19;7,4;17
2000;12;20;7,3;51
2000;12;21;5,4;28
2000;12;22;7,6;202
2000;12;23;11,1;146
